time,symbol,dir,entry,exit,qty,pnl_pct,pnl_dollar,reason,equity,trades,wr,dd
2026-08-19T14:00:53.431921,BTCUSDT,long,63662.59,64935.84,0.047123,0.0200,60.00,TP,100060.00,1,100.0,0.0007
2026-08-19T14:17:32.123708,ETHUSDT,long,1902.61,1938.49,1.576781,0.0189,56.57,TIMEOUT,100116.57,2,100.0,0.0002
2026-08-19T14:18:35.305694,BTCUSDT,long,65038.01,65411.99,0.046155,0.0058,17.26,TIMEOUT,100133.84,3,100.0,0.0000
2026-08-19T15:04:55.095293,ETHUSDT,long,1938.49,1977.26,1.549400,0.0200,60.07,TP,100193.91,4,100.0,0.0003
2026-08-19T15:16:09.948095,BTCUSDT,long,65411.99,66720.23,0.045925,0.0200,60.08,TP,100253.99,5,100.0,0.0000
2026-08-19T17:20:55.766422,ETHUSDT,long,2101.00,2071.99,1.431518,-0.0138,-41.53,TIMEOUT,100212.46,6,83.3,0.0006
2026-08-19T17:31:12.263978,BTCUSDT,long,68572.20,67908.23,0.043861,-0.0097,-29.12,TIMEOUT,100183.34,7,71.4,0.0008
2026-08-19T18:38:52.614046,ETHUSDT,long,2071.99,2087.37,1.450960,0.0074,22.32,TIMEOUT,100205.65,8,75.0,0.0006
2026-08-19T18:51:02.608985,BTCUSDT,long,67908.23,68408.66,0.044258,0.0074,22.15,TIMEOUT,100227.80,9,77.8,0.0004
2026-08-19T19:57:55.411214,ETHUSDT,long,2087.37,2104.18,1.440171,0.0081,24.21,TIMEOUT,100252.01,10,80.0,0.0002
2026-08-19T20:09:12.998871,BTCUSDT,long,68408.66,68614.55,0.043954,0.0030,9.05,TIMEOUT,100261.06,11,81.8,0.0001
2026-08-19T20:51:30.538011,ETHUSDT,long,2104.18,2146.26,1.429327,0.0200,60.15,TP,100321.21,12,83.3,0.0000
2026-08-19T21:05:53.570749,ETHUSDT,long,2212.84,2257.10,1.360079,0.0200,60.19,TP,100381.40,13,84.6,0.0003
2026-08-19T21:07:58.368855,ETHUSDT,long,2258.08,2303.24,1.333629,0.0200,60.23,TP,100441.63,14,85.7,0.0000
2026-08-19T21:13:07.233057,ETHUSDT,long,2314.60,2268.31,1.301844,-0.0200,-60.26,SL,100381.37,15,80.0,0.0011
2026-08-19T21:26:26.719696,BTCUSDT,long,68614.55,69562.00,0.043837,0.0138,41.53,TIMEOUT,100422.90,16,81.2,0.0007
2026-08-19T21:30:33.569623,ETHUSDT,long,2244.18,2289.06,1.341889,0.0200,60.23,TP,100483.13,17,82.4,0.0001
2026-08-19T22:34:02.428062,ETHUSDT,long,2289.98,2244.18,1.316384,-0.0200,-60.29,SL,100422.84,18,77.8,0.0009
2026-08-19T22:43:13.717264,BTCUSDT,long,69562.00,69384.01,0.043309,-0.0026,-7.71,TIMEOUT,100415.13,19,73.7,0.0009
2026-08-19T23:50:26.588753,ETHUSDT,long,2243.34,2249.01,1.342946,0.0025,7.61,TIMEOUT,100422.74,20,75.0,0.0009
2026-08-19T23:59:38.485677,BTCUSDT,long,69384.01,69334.55,0.043417,-0.0007,-2.15,TIMEOUT,100420.60,21,71.4,0.0009
2026-08-20T01:06:52.904067,ETHUSDT,long,2249.01,2261.71,1.339559,0.0056,17.01,TIMEOUT,100437.61,22,72.7,0.0007
2026-08-20T01:16:03.783688,BTCUSDT,long,69334.55,69361.99,0.043450,0.0004,1.19,TIMEOUT,100438.80,23,73.9,0.0007
2026-08-20T02:23:28.538675,ETHUSDT,long,2261.71,2261.20,1.332235,-0.0002,-0.68,TIMEOUT,100438.12,24,70.8,0.0007
2026-08-20T02:32:40.690967,BTCUSDT,long,69361.99,69475.19,0.043441,0.0016,4.92,TIMEOUT,100443.04,25,72.0,0.0007
2026-08-20T03:39:56.379119,ETHUSDT,long,2261.20,2246.01,1.332542,-0.0067,-20.24,TIMEOUT,100422.80,26,69.2,0.0009
2026-08-20T03:49:07.561476,BTCUSDT,long,69475.19,69250.00,0.043372,-0.0032,-9.77,TIMEOUT,100413.03,27,66.7,0.0010
2026-08-20T04:56:25.054900,ETHUSDT,long,2246.01,2251.94,1.341349,0.0026,7.95,TIMEOUT,100420.99,28,67.9,0.0009
2026-08-20T05:05:37.820977,BTCUSDT,long,69250.00,69500.99,0.043500,0.0036,10.92,TIMEOUT,100431.90,29,69.0,0.0008
2026-08-20T06:12:57.252604,ETHUSDT,long,2251.94,2243.13,1.337793,-0.0039,-11.79,TIMEOUT,100420.12,30,66.7,0.0009
2026-08-20T06:22:10.471105,BTCUSDT,long,69500.99,69629.74,0.043351,0.0019,5.58,TIMEOUT,100425.70,31,67.7,0.0008
2026-08-20T07:29:26.983213,ETHUSDT,long,2243.13,2254.71,1.343036,0.0052,15.55,TIMEOUT,100441.25,32,68.8,0.0007
2026-08-20T07:38:40.052240,BTCUSDT,long,69629.74,69579.99,0.043268,-0.0007,-2.15,TIMEOUT,100439.10,33,66.7,0.0007
2026-08-20T08:12:19.828226,BTCUSDT,long,69579.99,70971.59,0.043305,0.0200,60.26,TP,100499.36,34,67.6,0.0002
2026-08-20T08:47:15.258425,ETHUSDT,long,2254.71,2279.43,1.336419,0.0110,33.04,TIMEOUT,100532.40,35,68.6,0.0001
2026-08-20T09:29:04.592161,BTCUSDT,long,71144.01,71900.01,0.042379,0.0106,32.04,TIMEOUT,100564.44,36,69.4,0.0003
2026-08-20T10:03:48.176986,ETHUSDT,long,2279.43,2279.85,1.323125,0.0002,0.56,TIMEOUT,100564.99,37,70.3,0.0003
2026-08-20T10:59:38.547573,BTCUSDT,long,71900.01,71978.04,0.041960,0.0011,3.27,TIMEOUT,100568.27,38,71.1,0.0003
2026-08-20T11:34:25.530399,ETHUSDT,long,2279.85,2304.09,1.323311,0.0106,32.08,TIMEOUT,100600.34,39,71.8,0.0001
2026-08-20T12:16:28.215794,BTCUSDT,long,71978.04,71791.99,0.041916,-0.0026,-7.80,TIMEOUT,100592.55,40,70.0,0.0004
2026-08-20T12:51:16.926476,ETHUSDT,long,2304.09,2281.90,1.309849,-0.0096,-29.07,TIMEOUT,100563.48,41,68.3,0.0006
2026-08-20T13:33:05.045923,BTCUSDT,long,71791.99,71629.78,0.042035,-0.0023,-6.82,TIMEOUT,100556.66,42,66.7,0.0007
2026-08-20T14:59:51.825971,ETHUSDT,long,2281.90,2280.52,1.322102,-0.0006,-1.82,TIMEOUT,100554.84,43,65.1,0.0007
2026-08-20T15:41:43.258776,BTCUSDT,long,71629.78,72280.00,0.042115,0.0091,27.38,TIMEOUT,100582.22,44,65.9,0.0006
2026-08-20T15:51:56.849508,ETHUSDT,long,2280.52,2326.13,1.322788,0.0200,60.33,TP,100642.55,45,66.7,0.0000
2026-08-20T16:58:18.640193,BTCUSDT,long,72280.00,72758.00,0.041747,0.0066,19.96,TIMEOUT,100662.51,46,67.4,0.0003
2026-08-20T17:08:32.828717,ETHUSDT,long,2329.02,2339.47,1.296372,0.0045,13.55,TIMEOUT,100676.06,47,68.1,0.0002
2026-08-20T18:14:52.843999,BTCUSDT,long,72758.00,72619.61,0.041506,-0.0019,-5.74,TIMEOUT,100670.31,48,66.7,0.0003
2026-08-20T18:25:05.246206,ETHUSDT,long,2339.47,2332.59,1.291011,-0.0029,-8.88,TIMEOUT,100661.43,49,65.3,0.0003
2026-08-20T19:31:26.477612,BTCUSDT,long,72619.61,72633.99,0.041588,0.0002,0.60,TIMEOUT,100662.03,50,66.0,0.0003
2026-08-20T19:41:39.967957,ETHUSDT,long,2332.59,2331.21,1.294631,-0.0006,-1.79,TIMEOUT,100660.24,51,64.7,0.0004
2026-08-20T20:47:52.231926,BTCUSDT,long,72633.99,72735.08,0.041576,0.0014,4.20,TIMEOUT,100664.44,52,65.4,0.0003
2026-08-20T20:58:05.032921,ETHUSDT,long,2331.21,2319.15,1.295382,-0.0052,-15.62,TIMEOUT,100648.82,53,64.2,0.0005
2026-08-20T22:04:13.936247,BTCUSDT,long,72735.08,72535.38,0.041520,-0.0027,-8.29,TIMEOUT,100640.53,54,63.0,0.0005
2026-08-20T22:14:26.636476,ETHUSDT,long,2319.15,2312.81,1.301970,-0.0027,-8.25,TIMEOUT,100632.28,55,61.8,0.0006
2026-08-21T00:10:48.521140,BTCUSDT,long,72535.38,73338.00,0.041624,0.0111,33.41,TIMEOUT,100665.68,56,62.5,0.0003
2026-08-21T00:22:02.024640,ETHUSDT,long,2315.65,2340.75,1.303724,0.0108,32.72,TIMEOUT,100698.41,57,63.2,0.0001
2026-08-21T01:27:29.109569,BTCUSDT,long,73338.00,74695.31,0.041179,0.0185,55.89,TIMEOUT,100754.30,58,63.8,0.0003
2026-08-21T01:38:44.554165,ETHUSDT,long,2340.75,2355.33,1.290592,0.0062,18.82,TIMEOUT,100773.12,59,64.4,0.0002
2026-08-21T02:44:00.283550,BTCUSDT,long,74695.31,74713.86,0.040466,0.0002,0.75,TIMEOUT,100773.87,60,65.0,0.0006
2026-08-21T02:55:13.369907,ETHUSDT,long,2355.33,2346.35,1.283554,-0.0038,-11.53,TIMEOUT,100762.34,61,63.9,0.0007
2026-08-21T04:00:28.443042,BTCUSDT,long,74713.86,74604.07,0.040464,-0.0015,-4.44,TIMEOUT,100757.90,62,62.9,0.0008
2026-08-21T04:11:43.165880,ETHUSDT,long,2346.35,2345.49,1.288329,-0.0004,-1.11,TIMEOUT,100756.79,63,61.9,0.0008
